# #Teff log(g)
3.478500000000000000e+03 3.478500000000000000e+03
4.708800000000000182e+03 4.708800000000000182e+03
5.053000000000000000e+03 5.053000000000000000e+03
4.536699999999999818e+03 4.536699999999999818e+03
4.837500000000000000e+03 4.837500000000000000e+03
4.333899999999999636e+03 4.333899999999999636e+03
5.040800000000000182e+03 5.040800000000000182e+03
4.550899999999999636e+03 4.550899999999999636e+03
4.319800000000000182e+03 4.319800000000000182e+03
3.404900000000000091e+03 3.404900000000000091e+03
3.595800000000000182e+03 3.595800000000000182e+03
6.279500000000000000e+03 6.279500000000000000e+03
3.173699999999999818e+03 3.173699999999999818e+03
5.140699999999999818e+03 5.140699999999999818e+03
4.890500000000000000e+03 4.890500000000000000e+03
5.819600000000000364e+03 5.819600000000000364e+03
5.304100000000000364e+03 5.304100000000000364e+03
3.463800000000000182e+03 3.463800000000000182e+03
5.653000000000000000e+03 5.653000000000000000e+03
5.066899999999999636e+03 5.066899999999999636e+03
5.190800000000000182e+03 5.190800000000000182e+03
3.518000000000000000e+03 3.518000000000000000e+03
4.048300000000000182e+03 4.048300000000000182e+03
5.646000000000000000e+03 5.646000000000000000e+03
5.545000000000000000e+03 5.545000000000000000e+03
5.512500000000000000e+03 5.512500000000000000e+03
3.245699999999999818e+03 3.245699999999999818e+03
4.006900000000000091e+03 4.006900000000000091e+03
3.364800000000000182e+03 3.364800000000000182e+03
3.432500000000000000e+03 3.432500000000000000e+03
5.441600000000000364e+03 5.441600000000000364e+03
4.126000000000000000e+03 4.126000000000000000e+03
4.001400000000000091e+03 4.001400000000000091e+03
3.378000000000000000e+03 3.378000000000000000e+03
4.837100000000000364e+03 4.837100000000000364e+03
3.772000000000000000e+03 3.772000000000000000e+03
5.043800000000000182e+03 5.043800000000000182e+03
3.190800000000000182e+03 3.190800000000000182e+03
4.201899999999999636e+03 4.201899999999999636e+03
4.255699999999999818e+03 4.255699999999999818e+03
5.082800000000000182e+03 5.082800000000000182e+03
5.273600000000000364e+03 5.273600000000000364e+03
4.145199999999999818e+03 4.145199999999999818e+03
4.995800000000000182e+03 4.995800000000000182e+03
5.433699999999999818e+03 5.433699999999999818e+03
3.732300000000000182e+03 3.732300000000000182e+03
3.846500000000000000e+03 3.846500000000000000e+03
5.713100000000000364e+03 5.713100000000000364e+03
5.168600000000000364e+03 5.168600000000000364e+03
5.510600000000000364e+03 5.510600000000000364e+03
3.431900000000000091e+03 3.431900000000000091e+03
5.571399999999999636e+03 5.571399999999999636e+03
4.458600000000000364e+03 4.458600000000000364e+03
5.028800000000000182e+03 5.028800000000000182e+03
5.266500000000000000e+03 5.266500000000000000e+03
3.983699999999999818e+03 3.983699999999999818e+03
3.500199999999999818e+03 3.500199999999999818e+03
4.806199999999999818e+03 4.806199999999999818e+03
3.556900000000000091e+03 3.556900000000000091e+03
5.562000000000000000e+03 5.562000000000000000e+03
4.712399999999999636e+03 4.712399999999999636e+03
3.445800000000000182e+03 3.445800000000000182e+03
3.995099999999999909e+03 3.995099999999999909e+03
5.644399999999999636e+03 5.644399999999999636e+03
3.946900000000000091e+03 3.946900000000000091e+03
5.371899999999999636e+03 5.371899999999999636e+03
4.984000000000000000e+03 4.984000000000000000e+03
3.779900000000000091e+03 3.779900000000000091e+03
5.908699999999999818e+03 5.908699999999999818e+03
4.201699999999999818e+03 4.201699999999999818e+03
5.375500000000000000e+03 5.375500000000000000e+03
5.319100000000000364e+03 5.319100000000000364e+03
6.097199999999999818e+03 6.097199999999999818e+03
5.135100000000000364e+03 5.135100000000000364e+03
5.659699999999999818e+03 5.659699999999999818e+03
3.853599999999999909e+03 3.853599999999999909e+03
5.209300000000000182e+03 5.209300000000000182e+03
4.055000000000000000e+03 4.055000000000000000e+03
3.176800000000000182e+03 3.176800000000000182e+03
3.596300000000000182e+03 3.596300000000000182e+03
3.677099999999999909e+03 3.677099999999999909e+03
4.440699999999999818e+03 4.440699999999999818e+03
5.249600000000000364e+03 5.249600000000000364e+03
5.310500000000000000e+03 5.310500000000000000e+03
5.245100000000000364e+03 5.245100000000000364e+03
4.713399999999999636e+03 4.713399999999999636e+03
3.505900000000000091e+03 3.505900000000000091e+03
3.971900000000000091e+03 3.971900000000000091e+03
4.124100000000000364e+03 4.124100000000000364e+03
5.014699999999999818e+03 5.014699999999999818e+03
6.623500000000000000e+03 6.623500000000000000e+03
5.651500000000000000e+03 5.651500000000000000e+03
4.942399999999999636e+03 4.942399999999999636e+03
